Phylum/broader classification,Order,Family,Genera,Species,LTU,Cruise Number,Date,Site,Tow Type,Tow #,Net #,Sample #,n,Label,Start Depth,End Depth,Depth Filtered,Volume Filtered,Corrected Volume Filtered,"Volume Filtered/10,000m3","n/10,000 m3","n/10,000m2",Mass (g),Mass Correction Factor,Corrected Mass (g),"g/10,000 m3","g/10,000m2",ETP Endemic?,Preservative,Broad Classification,Micronekton?,Jar Size,Comments
Chordata,Trachichthyiformes,Anoplogasteridae,Anoplogaster,cornuta,Anoplogaster cornuta,DG5B,2021-03-17,PRZ,Day,S1,1,1,1,DG5B_M10_S1_1_1_Anoplogaster cornuta,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,72.52,1.48,107.46,107.3669472,53576.10665,No,10% formalin,Fish,Yes,,
Chordata,Myctophiformes,Myctophidae,Lampanyctus,parvicauda,Lampanyctus parvicauda,DG5B,2021-03-17,PRZ,Day,S1,1,2,1,DG5B_M10_S1_1_2_Lampanyctus parvicauda,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,1.72,1.67,2.87,2.869112553,1431.687164,Yes,ETOH 100,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Melamphaes,laeviceps?,Melamphaes laeviceps?,DG5B,2021-03-17,PRZ,Day,S1,1,3,1,DG5B_M10_S1_1_3_Melamphaes laeviceps?,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.19,1.94,0.37,0.368203959,183.7337753,CD,10% formalin,Fish,Yes,,Dorsal side torn
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-17,PRZ,Day,S1,1,3,1,DG5B_M10_S1_1_3_Scopeloberyx malayanus,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.67,1.94,1.30,1.298403433,647.9033131,OMZ,10% formalin,Fish,Yes,,Off Chile
Chordata,Beryciformes,Melamphaidae,Scopeloberyx,malayanus,Scopeloberyx malayanus,DG5B,2021-03-17,PRZ,Day,S1,1,3,13,DG5B_M10_S1_1_3_Scopeloberyx malayanus,1500,1001,499,18015,10008.33333,1.000833333,12.98917569,6481.598668,6.68,1.94,12.96,12.94527602,6459.692733,No,10% formalin,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Melamphaes,macrocephalus,Melamphaes macrocephalus,DG5B,2021-03-17,PRZ,Day,S1,1,3,1,DG5B_M10_S1_1_3_Melamphaes macrocephalus,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.34,1.94,0.66,0.658891294,328.7867559,No,10% formalin,Fish,Yes,,Unsure
Chordata,Beryciformes,Melamphaidae,Scopelogadus,bispinosus,Scopelogadus bispinosus,DG5B,2021-03-17,PRZ,Day,S1,1,3,1,DG5B_M10_S1_1_3_Scopelogadus bispinosus,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,4.00,1.94,7.76,7.751662286,3868.079481,Yes,10% formalin,Fish,Yes,,
Chordata,Beryciformes,Melamphaidae,Melamphaidae,gen. sp.,Melamphaidae gen. sp.,DG5B,2021-03-17,PRZ,Day,S1,1,3,1,DG5B_M10_S1_1_3_Melamphaidae gen. sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,0.25,1.94,0.48,0.484478893,241.7549676,Maybe,10% formalin,Fish,Yes,,Pigmentation but no scales; based off ray counts
Chordata,Anguilliformes,Serrivomeridae,Serrivomer,sp.,Serrivomer sp.,DG5B,2021-03-17,PRZ,Day,S1,1,4,1,DG5B_M10_S1_1_4_Serrivomer sp.,1500,1001,499,18015,10008.33333,1.000833333,0.999167361,498.5845129,21.97,2.25,49.45,49.40414566,24652.66868,CD,,Fish,Yes,,
Chordata,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Cyclothone acclinidens,DG5B,2021-03-17,PRZ,Day,S1,1,5,11,DG5B_M10_S1_1_5_Cyclothone acclinidens,1500,1001,499,18015,10008.33333,1.000833333,10.99084097,5484.429642,1.43,2.18,3.11,3.112141118,1552.958418,No,,Fish,Yes,,
